ZipCode,Latitude,Longitude,NumberofBuildings,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),NaturalGas(kBtu),TotalGHGEmissions,GHGEmissionsIntensity
98108.0,47.53809,-122.29591,1.0,70762.0,15220.6,6563.2,87.0,51.0,3606416.0,4138032.75,0.0,3115310.0,168.88,2.39
98104.0,47.60105,-122.33518,1.0,34416.0,7672.0,2470.0,78.0,37.59999847,1677002.25,1722053.0,0.0,359365.0,28.27,0.63
98134.0,47.59544,-122.33159,1.0,1585960.0,0.0,30246.2,89.4,37.70000076,59757440.0,62160304.0,0.0,10317518.0,892.63,0.56
98134.0,47.57199,-122.32811,1.0,117476.0,37321.0,25543.0,67.4,52.20000076,9436408.0,10168523.0,0.0,664302.0,96.43,0.54
98134.0,47.57199,-122.32811,1.0,40831.0,16735.0,11533.0,74.8,55.90000153,3928695.25,4327563.5,0.0,0.0,27.39,0.47
98134.0,47.59085,-122.33354,1.0,1172127.0,144522.0,43400.8,79.0,50.09999847,58761304.0,57406988.0,0.0,18138920.0,1246.55,1.06
98134.0,47.59269,-122.33372,1.0,135006.0,20600.0,9216.0,64.0,88.19999695,12726789.0,12871628.0,0.0,6494555.0,388.37,2.31
98134.0,47.57507,-122.35747,0.0,79600.0,10554.0,7225.6,34.0,30.29999924,2411402.25,2411402.25,0.0,0.0,16.81,0.21
98103.0,47.65996,-122.33962,1.0,241066.0,25276.0,2322.4,79.0,32.29999924,7791957.0,8886716.0,0.0,4695641.0,270.97,1.12
98108.0,47.52429,-122.31234,14.0,240984.0,72963.0,16766.0,90.0,159.8999939,53466684.0,54136068.0,0.0,8145300.0,748.55,2.24
98125.0,47.70281,-122.32532,1.0,335109.0,65000.0,13567.0,65.6,107.8000031,9134963.0,9238992.0,0.0,2139716.0,162.41,0.39
98119.0,47.6239,-122.35756,1.0,58563.0,48520.0,29839.0,92.8,95.30000305,10557910.0,10864032.0,0.0,418354.0,92.91,0.84
98101.0,47.61275,-122.3333,1.0,495536.0,438756.0,49700.0,57.2,117.9000015,65047284.0,66502836.0,0.0,25683162.0,1638.46,1.75
98122.0,47.60705,-122.30966,6.0,601615.0,48607.0,72376.6,34.0,238.3999939,143423024.0,147299056.0,0.0,84668094.0,4906.33,8.21
98106.0,47.52518,-122.34828,1.0,71714.0,15176.6,8669.8,87.0,33.09999847,2371358.0,2470597.75,0.0,427142.0,36.24,0.51
98103.0,47.65097,-122.34227,1.0,67236.0,8161.0,1941.8,91.0,8.199999809,549181.375,571637.5,0.0,125800.0,9.63,0.13
98104.0,47.60399,-122.32377,9.0,1350182.0,387651.0,66041.8,29.0,217.1000061,293090784.0,296671744.0,122575032.0,1832129.0,10734.57,9.26
98104.0,47.59626,-122.3218,1.0,55259.0,40091.0,3231.0,32.4,98.30000305,10105379.0,10281401.0,0.0,2676561.0,193.94,1.89
98116.0,47.57678,-122.38459,1.0,208981.0,2400.0,18456.6,80.0,39.09999847,8164853.0,9030149.0,0.0,3270002.0,207.79,0.99
98105.0,47.66568,-122.31368,1.0,55500.0,3778.8,3476.8,98.0,24.79999924,1377627.0,1597907.25,0.0,1371489.0,72.88,1.31
98105.0,47.66151,-122.31457,1.0,106860.0,10882.2,3470.8600098,49.0,111.6999969,11935719.0,12616417.0,0.0,8373976.0,469.57,4.39
98125.0,47.71895,-122.29475,1.0,47079.0,3680.0,8517.6,62.0,62.0,3147042.0,3321734.0,0.0,588509.0,49.09,0.97
98105.0,47.66182,-122.31113,1.0,56772.0,13904.4,4157.4,46.0,43.0,2439484.75,2762805.5,0.0,1464372.0,84.57,1.49
98105.0,47.6626,-122.31164,1.0,103000.0,13423.4,4937.0,42.0,47.09999847,4854429.5,5391782.0,0.0,2515995.0,149.93,1.46
98115.0,47.67723,-122.31281,1.0,269297.0,19582.2,10964.6,80.0,39.0,10498344.0,11208195.0,0.0,3294379.0,225.19,0.84
98115.0,47.67184,-122.29221,1.0,75174.0,11521.0,6358.0,77.0,36.40000153,2733846.0,3011741.75,0.0,1144302.0,71.86,0.96
98119.0,47.64052,-122.3656,1.0,75214.0,15362.0,8645.6,88.0,31.0,2334260.0,2457326.25,0.0,600575.0,43.98,0.58
98116.0,47.57298,-122.39028,1.0,134918.0,7426.6,10819.8,91.0,28.29999924,3822102.5,4135198.25,0.0,926998.0,69.42,0.51
98144.0,47.59096,-122.29985,1.0,65310.0,10554.0,7225.6,67.0,35.09999847,2295176.5,2453255.5,0.0,0.0,16.0,0.25
98115.0,47.67725,-122.32232,1.0,92437.0,8666.8,3363.4,78.0,50.0,4626443.0,5280739.0,0.0,3658577.0,201.05,2.17
98101.0,47.61103,-122.33238,1.0,109754.0,12876.0,6136.0,47.6,47.0,6057410.0,6057410.0,0.0,324760.0,57.21,0.44
